sample_id,group_id,split,label,color_fraction,shape_score
tr-a-01,train-A,train,candidate_like,0.9,0.9
tr-a-02,train-A,train,candidate_like,0.8,0.7
tr-a-03,train-A,train,other,0.1,0.2
tr-a-04,train-A,train,other,0.2,0.3
tr-b-01,train-B,train,candidate_like,0.7,0.8
tr-b-02,train-B,train,candidate_like,0.8,0.8
tr-b-03,train-B,train,other,0.2,0.1
tr-b-04,train-B,train,other,0.3,0.2
va-c-01,val-C,validation,candidate_like,0.85,0.65
va-c-02,val-C,validation,other,0.25,0.25
va-c-03,val-C,validation,candidate_like,0.56,0.49
va-c-04,val-C,validation,other,0.64,0.61
te-d-01,test-D,test,candidate_like,0.84,0.76
te-d-02,test-D,test,other,0.18,0.27
te-d-03,test-D,test,candidate_like,0.56,0.54
te-d-04,test-D,test,other,0.64,0.56
te-e-01,test-E,test,candidate_like,0.28,0.22
te-e-02,test-E,test,other,0.78,0.72
te-e-03,test-E,test,candidate_like,0.81,0.79
te-e-04,test-E,test,other,0.19,0.11
